idx,links,nup,uplink1,uplink2,uplink3,uplink4,up1,up2,up3,up4,drainage_area,channel_length,area_hillslope,bedrock_depth,k05,k1530,top_max,bottom_max,td_factor,xx,yy
0,853583,0,0,0,0,0,0,0,0,0,111500,14.1,111600,1,18.3532466888428,15.5842962265015,0.486172676086426,0.453331112861633,0.17219730941704,-93.1284901637525,42.3143755548674
1,730607,0,0,0,0,0,0,0,0,0,109200,255.6,109300,1,17.7057266235352,15.4861173629761,0.480272769927979,0.447126477956772,0.355311355311355,-93.1226347803159,42.3203548291775
2,509967,0,0,0,0,0,0,0,0,0,231800,682.8,232000,1,5.46930503845215,5.25190305709839,0.437624841928482,0.368856549263,0.379637618636756,-93.1251275311475,42.3226817956051
3,667439,0,0,0,0,0,0,0,0,0,194600,86.6,194800,1,16.438009262085,10.4486799240112,0.489116370677948,0.474057048559189,0.380267214799589,-93.1285823078635,42.3196968866884
4,1135599,2,667439,509967,0,0,3,2,0,0,443500,159,17100,1,16.8318843841553,15.1181592941284,0.491469413042068,0.450062245130539,0.982456140350877,-93.1254292096176,42.3184199204458
5,1173231,2,1135599,730607,0,0,4,1,0,0,724300,457,171700,1,18.339771270752,16.3005275726318,0.490716308355331,0.453174293041229,0.36013986013986,-93.1282093625503,42.3164935147511
6,1254543,2,1173231,853583,0,0,5,0,0,0,901400,348,65700,1,16.4610786437988,13.6382389068604,0.500184595584869,0.462570816278458,0.0472560975609756,-93.1235002384368,42.3152975615183
7,63536,0,0,0,0,0,0,0,0,0,114100,283.1,114200,0.943037948608398,9.06429481506348,9.0838565826416,0.477210611104965,0.417521625757217,0,-93.1299090484922,42.3092726309088
8,909583,0,0,0,0,0,0,0,0,0,235500,674.3,235700,0.5,8.25797462463379,7.00472211837769,0.447536587715149,0.38307785987854,0.0462845010615711,-93.1345126046645,42.3117847385702
9,580527,0,0,0,0,0,0,0,0,0,193000,410.4,193200,1,9.75180912017822,9.09165191650391,0.458448082208633,0.380817472934723,0.00103626943005181,-93.1308352692749,42.3228655843659
10,585455,0,0,0,0,0,0,0,0,0,252700,351.4,252900,1,14.9861469268799,8.92029762268066,0.474330306053162,0.463621377944946,0.151167392164622,-93.1350470791735,42.3219287184756
11,1045103,2,585455,580527,0,0,10,9,0,0,618800,710.4,173200,0.5,18.0693397521973,15.0205526351929,0.49190679192543,0.453051954507828,0.377816291161178,-93.1344497186987,42.3174772149195
12,102511,0,0,0,0,0,0,0,0,0,268800,651.8,269000,1,10.549355506897,7.63739967346191,0.531714379787445,0.426344305276871,0.371279761904762,-93.14432751312,42.3330545922305
13,205775,0,0,0,0,0,0,0,0,0,130200,184.1,130300,1,13.3551292419434,10.8139057159424,0.494506627321243,0.420636743307114,0.238863287250384,-93.1403958028513,42.3322927064667
14,1112975,2,205775,102511,0,0,13,12,0,0,923700,1251.8,525100,1,12.4729661941528,13.368408203125,0.464076638221741,0.414449840784073,0.0505050505050505,-93.1394264152666,42.3257890607781
15,190767,0,0,0,0,0,0,0,0,0,206200,373.8,206400,1,10.174783706665,10.1371307373047,0.521395921707153,0.435296595096588,0.425315227934045,-93.1529879031848,42.3315920980274
16,948558,0,0,0,0,0,0,0,0,0,95300,66.6,95400,1,5.82642841339111,5.16471242904663,0.562183856964111,0.485742211341858,0.532004197271773,-93.1550478779978,42.338759343722
17,745838,0,0,0,0,0,0,0,0,0,236700,547,236900,0.5,13.7093648910522,12.3075370788574,0.494270861148834,0.422577351331711,0.549218419940853,-93.1545434262005,42.3421283748878
18,691406,0,0,0,0,0,0,0,0,0,155700,351.4,155800,0.5,17.6594429016113,16.7560882568359,0.464405506849289,0.409472048282623,0.428387925497752,-93.1576651226348,42.3437233044228
19,783470,0,0,0,0,0,0,0,0,0,296700,502.8,296900,0.5,5.02335166931152,5.23582315444946,0.548346400260925,0.468983203172684,0.566902595214021,-93.1632847254843,42.3407197120323
20,1065710,2,783470,691406,0,0,19,18,0,0,473900,183.1,21500,0.5,5.67163038253784,6.11945676803589,0.542929947376251,0.461023271083832,0.437209302325581,-93.1591782701419,42.3406106257566
21,1118126,2,1065710,745838,0,0,20,17,0,0,862600,559.7,152100,1,10.1912746429443,9.14793491363525,0.503484010696411,0.401288092136383,0.66578947368421,-93.1579878230675,42.3377614624759
22,1416943,2,1118126,948558,0,0,21,16,0,0,1232300,896.7,274600,1,12.7859601974487,10.81409740448,0.466691911220551,0.40020826458931,0.337827988338192,-93.1515823222638,42.3348323078419
23,1497807,2,1416943,190767,0,0,22,15,0,0,2029500,1919.2,591500,0.5,15.0254592895508,9.69255352020264,0.485224634408951,0.467357516288757,0.0313028764805415,-93.14596003325,42.3264046677182
24,1591439,2,1497807,1112975,0,0,23,14,0,0,2971500,457.3,18300,0.5,16.7052974700928,14.0033683776855,0.496808052062988,0.463048696517944,0.0983606557377049,-93.1375602066107,42.3177275788603
25,898831,0,0,0,0,0,0,0,0,0,108700,86.6,108800,0.5,15.5741939544678,10.7773685455322,0.501738965511322,0.468486368656158,0.278748850045998,-93.142026622723,42.3126005670932
26,90640,0,0,0,0,0,0,0,0,0,252700,404.6,252900,0.5,11.9816017150879,11.7589111328125,0.476742744445801,0.41352590918541,0.0197863078749505,-93.137896717541,42.308282479886
27,236240,0,0,0,0,0,0,0,0,0,142900,38.3,143000,1.5,9.95098876953125,9.48725509643555,0.452378541231155,0.397070676088333,0.480055983205039,-93.1461685096529,42.3041806860382
28,324944,0,0,0,0,0,0,0,0,0,347400,442.8,347700,1.5,15.7925996780396,11.7296724319458,0.504343688488007,0.460384458303452,0.348301669545193,-93.1409007152755,42.3032169142514
29,1037040,2,324944,236240,0,0,28,27,0,0,713400,826,223300,1.5,9.80414009094238,9.59019565582275,0.439633309841156,0.37025249004364,0.231286418646347,-93.1433000051732,42.3079769840766
30,1237520,2,1037040,90640,0,0,29,26,0,0,1008700,367.3,42600,0.5,13.5299339294434,11.5088138580322,0.481008261442184,0.425925642251968,0.15962441314554,-93.139132061425,42.3121049120839
31,1426351,2,1237520,898831,0,0,30,25,0,0,1190400,418,73100,0.5,18.6191844940186,15.6302824020386,0.491836696863174,0.457436472177505,0.267123287671233,-93.139040601382,42.314402425808
32,753455,0,0,0,0,0,0,0,0,0,124000,386.6,124100,0.5,14.8019924163818,10.3280515670776,0.502574145793915,0.470227688550949,0.342741935483871,-93.1471953253293,42.3160068189011
33,576271,0,0,0,0,0,0,0,0,0,210800,393.8,211000,0.5,17.8343696594238,13.3255386352539,0.482558995485306,0.458121746778488,0.178842504743833,-93.1463299853276,42.3216408534293
34,499439,0,0,0,0,0,0,0,0,0,267400,837.7,267600,0.5,14.1357297897339,14.6958112716675,0.442904829978943,0.4046311378479,0.0837696335078534,-93.1500872593736,42.3226363780189
